device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,pages_viewed,time_on_site_sec,added_to_cart,purchased,rating,visit_day,visit_month,visit_weekday,visit_season,session_duration_bucket,location,visit_year
2,1,2,894,6,651.57,1,20,130.31,21,965,1,0,4,28,11,3,0,Long,209,2024
2,0,4,844,2,945.27,4,15,567.16,21,1158,0,0,4,25,9,2,0,Long,213,2024
1,1,0,865,0,400.44,4,0,0.0,19,710,1,0,4,31,5,4,1,Short,10,2024
1,0,2,851,3,1268.54,2,5,126.85,19,1674,1,1,4,30,1,1,3,Very Long,46,2024
1,1,5,794,3,880.81,3,0,0.0,13,427,1,0,4,25,2,6,3,Very Short,118,2024
1,0,4,481,3,458.42,2,10,91.68,6,949,1,0,4,29,3,4,1,Long,207,2024
0,1,1,634,0,623.83,4,0,0.0,15,1608,1,1,4,28,5,1,1,Very Long,175,2024
1,0,4,225,6,1491.56,3,15,671.2,24,1169,0,0,4,19,11,1,0,Long,150,2024
1,1,3,628,2,791.88,2,0,0.0,18,285,1,0,4,13,2,1,3,Very Short,141,2024
1,0,4,664,7,164.42,4,10,65.77,6,476,1,0,4,29,7,0,2,Short,103,2024
0,1,2,386,4,318.62,4,10,127.45,8,1557,0,0,4,6,5,0,1,Very Long,84,2024
0,1,0,594,4,103.54,2,20,41.42,24,1724,1,0,4,18,1,3,3,Very Long,145,2024
1,0,4,379,6,373.33,4,5,74.67,4,309,0,0,4,14,8,2,2,Very Short,169,2024
0,0,5,786,7,682.23,1,10,68.22,5,1273,0,0,4,14,9,5,0,Long,155,2024
0,1,0,175,2,837.89,2,25,418.94,5,1462,0,0,4,16,12,0,3,Very Long,167,2024
1,1,3,766,7,1151.07,2,15,345.32,16,143,0,0,4,3,7,2,2,Very Short,135,2024
1,1,2,691,0,693.68,1,0,0.0,10,180,1,0,4,28,4,6,1,Very Short,85,2024
0,0,3,250,1,481.83,4,0,0.0,19,1019,1,0,4,7,11,3,0,Long,51,2024
0,1,1,145,7,687.69,1,0,0.0,1,200,1,0,4,31,3,6,1,Very Short,25,2024
